team,name,position,matches,goals,assists,status
Parma Calcio,Gabriel Charpentier,M,0,0,0,Injured
Roma,Bryan Cristante,M,0,0,0,Injured
Roma,Edoardo Bove,M,0,0,0,Doubtful
Napoli,A. Buongiorno,D,0,0,0,Injured
Napoli,K. Kvaratskhelia,F,0,0,0,Injured
Torino,Duvan Zapata,F,0,0,0,Injured
Torino,Saba Sazonov ,D,0,0,0,Injured
Torino,Perr Schuurs,D,0,0,0,Injured
Torino,Emirhan IIkhan ,M,0,0,0,Injured
Torino,Pietro Pellegri,F,0,0,0,Injured
Udinese,Oier Zarraga,M,0,0,0,Injured
Udinese,Gerard Deulofeu,F,0,0,0,Injured
Udinese,Keinan Davis,F,0,0,0,Injured
Udinese,Maduka Okoye,G,0,0,0,Injured
Venezia,Richie Sagrado,D,0,0,0,Injured
Venezia,Alfred Duncan,M,0,0,0,Injured
Venezia,Michael Svoboda,D,0,0,0,Injured
team,name,position,matches,goals,assists,status
Augsburg,Y. Kabadayi,F,0,0,0,Injured
Augsburg,M. Okugawa,M,0,0,0,Injured
Augsburg,Mads Pedersen,D,0,0,0,Injured
Augsburg,K. Schlotterbeck,D,0,0,0,Injured
Leverkusen,Amine Adli,F,0,0,0,Injured
Leverkusen,Jeanuel Belocian,D,0,0,0,Injured
B. Munich,D. Upamecano ,D,0,0,0,Suspended
B. Munich,S. Boey,D,0,0,0,Injured
B. Munich,Hiroki Ito,D,0,0,0,Injured
Bochum,K. Miyoshi,M,0,0,0,Suspended
Dortmund,Filippo Mane,M,0,0,0,Injured
Dortmund,F. Nmecha,M,0,0,0,Injured
Dortmund,R. Bensebaini,D,0,0,0,Injured
Mgladbach,N. Ngoumou,M,0,0,0,Injured
Frankfurt,Aurele Amenda,M,0,0,0,Injured
Frankfurt,Tuta,D,0,0,0,Injured
Frankfurt,J. Bahoya,F,0,0,0,Injured
Heidenheim,J. Niehues,M,0,0,0,Injured
Heidenheim,Marvin Pieringer,M,0,0,0,Suspended
Freiburg,B. Ogbus,D,0,0,0,Injured
Freiburg,daniel-Kofi Kyereh,M,0,0,0,Injured
Hoffenheim,Christopher Lenz,D,0,0,0,Injured
Hoffenheim,Grischa Promel,M,0,0,0,Injured
Hoffenheim,Ihlas Bebou,F,0,0,0,Injured
Hoffenheim,U. Tohumcu,M,0,0,0,Injured
Hoffenheim,Ozan Kabak,D,0,0,0,Injured
Hoffenheim,Marius Bulter ,F,0,0,0,Injured
Hoffenheim,M. Moerstedt,F,0,0,0,Injured
Kiel,M. Schulz,M,0,0,0,Injured
Kiel,P. Erras ,M,0,0,0,Injured
Kiel,S. Skrzybski,F,0,0,0,Injured
Kiel,Colin Kleine-Bekel,M,0,0,0,Injured
Mainz ,Gabriel Vidovic,M,0,0,0,Injured
Mainz ,N. Amiri,M,0,0,0,Injured
Mainz ,J. Burkardt ,F,0,0,0,Injured
Mainz ,M. Jenz,D,0,0,0,Injured
Mainz ,M.B. Dal,D,0,0,0,Injured
Mainz ,S. Widmer,D,0,0,0,Injured
Mainz ,N. Amiri,M,0,0,0,Suspended
Leipzig,A. Vermeeren,M,0,0,0,Suspended
Leipzig,C. Lukeda,D,0,0,0,Injured
Leipzig,Assan Ouedraogo,M,0,0,0,Injured
Leipzig,B. Henrichs ,D,0,0,0,Injured
Leipzig,Yussuf Poulsen,F,0,0,0,Injured
St. Pauli,P. Treu,D,0,0,0,Injured
St. Pauli,H. Wahl,D,0,0,0,Injured
St. Pauli,Elias Saad,M,0,0,0,Injured
St. Pauli,Connor Metcalfe,M,0,0,0,Injured
St. Pauli,Simon Zoller,F,0,0,0,Injured
St. Pauli,Sascha Burchert,G,0,0,0,Injured
St. Pauli,Soren Ahlers,G,0,0,0,Injured
St. Pauli,Karol Mets ,M,0,0,0,Injured
St. Pauli,R. Boamah Seibt ,G,0,0,0,Injured
St. Pauli,Robert Wagner,M,0,0,0,Injured
Union Berlin,O. Ogbemudia,D,0,0,0,Injured
Union Berlin,Yannic Stein,G,0,0,0,Injured
Union Berlin,R. Khedira,M,0,0,0,Suspended
Union Berlin,F. Ronnow,G,0,0,0,Injured
Union Berlin,I. Prtajin,F,0,0,0,Injured
Stuttgart,Dan-Axel Zagadou,D,0,0,0,Injured
Stuttgart,C. Oliver,M,0,0,0,Injured
Stuttgart,El Bilal Toure,F,0,0,0,Injured
Stuttgart,J. Diehl,F,0,0,0,Injured
Stuttgart,W. Faghir,F,0,0,0,Injured
Bremen,Felix Agu,D,0,0,0,Injured
Bremen,Isak Hansen-Aaroeen,F,0,0,0,Injured
Bremen,Keke Topp,F,0,0,0,Injured
Bremen,M. Ducksch,F,0,0,0,Injured
Bremen,Justin Njinmah,M,0,0,0,Injured
Wolfsburg,Bartosz Bialek,F,0,0,0,Injured
Wolfsburg,Kevin Paredes,M,0,0,0,Injured
Wolfsburg,Lovro Majer,M,0,0,0,Injured
Wolfsburg,Rogerio,D,0,0,0,Injured
Wolfsburg,A. Vranckx ,M,0,0,0,Injured
team,name,position,matches,goals,assists,status
Angers,Sidiki Cherif,M,0,0,0,Injured
Angers,J. Kalumba,F,0,0,0,Injured
Auxerre,K. Hoever,D,0,0,0,Injured
Auxerre,Ange Loic N’Gatta ,M,0,0,0,Injured
Auxerre,N. Buayi-Kiala ,M,0,0,0,Injured
